NAME, DATE, LAST, LL, LH, NEXT, NL, NH,LTP
YESBANK,17-Dec-2018,B,169.54375,181.59375,S,168.14,179.03,186.8
HINDPETRO,19-Dec-2018,B,225.53438,233.42502,S,225.06,232.80,244.3
BPCL,13-Dec-2018,B,321.72498,332.7969,S,327.74,338.36,370.5
UPL,20-Dec-2018,B,747.3188,770.5469,S,747.32,770.55,772.0
HEROMOTOCO,02-Nov-2018,B,2754.9434,2840.4404,S,3085.55,3159.57,3372.3
ASIANPAINT,13-Dec-2018,B,1310.3281,1341.5906,S,1315.75,1347.74,1428.5
M&M,12-Dec-2018,B,417.13437,434.58435,S,424.75,443.68,794.95
IOC,13-Dec-2018,S,322.45312,331.575,B,321.89,330.95,148.0
SUNPHARMA,13-Nov-2018,S,570.6281,588.17816,B,428.43,445.88,429.5
TATAMOTORS,17-Dec-2018,B,168.18437,173.45937,S,166.66,171.89,176.15
BAJAJ-AUTO,29-Nov-2018,B,2631.6343,2685.072,S,2731.76,2798.33,2897.0
LT,13-Dec-2018,B,1391.678,1417.6031,S,1392.60,1419.45,1450.1
IBULHSGFIN,12-Dec-2018,B,708.5063,742.97504,S,729.45,766.03,848.15
KOTAKBANK,12-Dec-2018,B,1176.9219,1220.4844,S,1199.57,1249.40,1237.0
EICHERMOT,13-Dec-2018,B,23010.395,23777.023,S,22853.86,23548.17,24146.0
HDFCBANK,12-Dec-2018,B,2052.9158,2084.1904,S,2083.96,2118.21,2138.0
DRREDDY,12-Dec-2018,S,2591.0906,2662.8347,B,2609.40,2681.34,2625.95
HCLTECH,07-Dec-2018,S,996.5562,1033.6562,B,975.26,1007.45,961.5
INDUSINDBK,13-Dec-2018,B,1563.8625,1605.1405,S,1583.91,1624.75,1617.8
INFY,19-Dec-2018,S,666.4406,683.5688,B,668.68,685.48,666.9
ONGC,14-Dec-2018,B,141.39375,146.06561,S,140.64,145.24,148.45
BAJAJFINSV,12-Dec-2018,B,5753.2095,5926.397,S,5889.75,6062.99,6410.0
TECHM,20-Dec-2018,B,695.29065,715.0032,S,695.29,715.00,709.8
ADANIPORTS,12-Dec-2018,B,359.3031,369.55624,S,364.19,373.70,376.0
BAJFINANCE,12-Dec-2018,B,2403.9375,2475.9033,S,2447.49,2518.17,2594.0
ITC,19-Dec-2018,B,276.53748,281.5063,S,276.27,281.35,283.1
