NAME, DATE, LAST, LL, LH, NEXT, NL, NH,LTP
INFRATEL,24-Dec-2018,B,251.24689,258.55313,S,251.25,258.55,264.9
TCS,20-Dec-2018,S,1964.9344,2005.5406,B,1964.93,2005.54,1922.0
WIPRO,21-Dec-2018,S,326.46875,336.0594,B,327.17,337.19,326.05
M&M,12-Dec-2018,B,417.13437,434.58435,S,429.75,448.29,788.15
KOTAKBANK,12-Dec-2018,B,1176.9219,1220.4844,S,1207.36,1254.07,1238.0
BHARTIARTL,24-Dec-2018,S,304.98438,317.24686,B,304.98,317.25,309.9
IBULHSGFIN,12-Dec-2018,B,708.5063,742.97504,S,746.19,786.53,821.9
SBIN,13-Dec-2018,B,279.45938,286.06558,S,282.44,288.90,293.5
GAIL,24-Dec-2018,S,341.60934,351.47498,B,341.61,351.47,346.9
ADANIPORTS,21-Dec-2018,S,364.61252,374.19376,B,364.36,374.70,362.65
INFY,19-Dec-2018,S,666.4406,683.5688,B,668.74,684.69,648.5
UPL,21-Dec-2018,S,746.1532,770.20624,B,744.34,769.24,738.0
CIPLA,14-Dec-2018,S,517.45935,531.5594,B,518.78,532.47,517.7
TECHM,21-Dec-2018,S,695.91565,715.69696,B,696.40,716.17,697.0
ITC,21-Dec-2018,S,276.28125,281.13123,B,275.82,280.80,276.65
MARUTI,24-Dec-2018,S,7491.925,7675.947,B,7491.92,7675.95,7529.15
ONGC,14-Dec-2018,B,141.39375,146.06561,S,141.60,145.74,148.2
DRREDDY,12-Dec-2018,S,2591.0906,2662.8347,B,2612.35,2680.60,2600.0
YESBANK,17-Dec-2018,B,169.54375,181.59375,S,171.38,180.78,182.35
SUNPHARMA,13-Nov-2018,S,570.6281,588.17816,B,421.20,437.76,423.5
ICICIBANK,17-Dec-2018,B,348.84067,356.06876,S,349.73,357.40,352.45
HINDUNILVR,24-Dec-2018,S,1802.2468,1844.2032,B,1802.25,1844.20,1788.0
INDUSINDBK,21-Dec-2018,S,1583.9814,1624.8562,B,1581.06,1622.04,1562.0
GRASIM,21-Dec-2018,S,821.4844,844.775,B,819.97,843.39,809.0
LT,13-Dec-2018,B,1391.678,1417.6031,S,1394.60,1422.15,1406.8
BAJFINANCE,12-Dec-2018,B,2403.9375,2475.9033,S,2463.19,2534.87,2566.2
RELIANCE,20-Dec-2018,S,1117.6937,1143.3375,B,1113.06,1138.72,1089.3
AXISBANK,13-Dec-2018,B,609.52185,625.1469,S,609.95,625.93,614.2
POWERGRID,14-Dec-2018,B,180.12814,185.23126,S,184.36,189.26,194.7
TATASTEEL,24-Dec-2018,S,513.41565,526.6407,B,513.42,526.64,514.0
HINDPETRO,19-Dec-2018,B,225.53438,233.42502,S,225.09,233.06,247.0
BAJAJFINSV,12-Dec-2018,B,5753.2095,5926.397,S,5949.92,6122.61,6280.0
HDFCBANK,24-Dec-2018,S,2087.5593,2121.5596,B,2087.56,2121.56,2083.0
