NAME, DATE, LAST, LL, LH, NEXT, NL, NH,LTP
HINDPETRO,19-Dec-2018,B,225.53438,233.42502,S,225.06,232.80,250.1
BPCL,13-Dec-2018,B,321.72498,332.7969,S,327.74,338.36,374.35
COALINDIA,17-Dec-2018,B,242.59377,250.21875,S,242.08,249.39,252.2
NTPC,17-Dec-2018,B,139.49376,143.85625,S,139.91,144.35,149.95
POWERGRID,14-Dec-2018,B,180.12814,185.23126,S,182.50,187.73,198.45
HINDALCO,17-Dec-2018,B,217.95627,225.04375,S,219.56,225.84,223.75
ONGC,14-Dec-2018,B,141.39375,146.06561,S,140.64,145.24,148.4
BAJFINANCE,12-Dec-2018,B,2403.9375,2475.9033,S,2447.49,2518.17,2587.0
INFRATEL,21-Dec-2018,S,251.67188,258.64685,B,251.65,258.79,261.3
JSWSTEEL,19-Dec-2018,B,300.27188,310.57187,S,300.58,310.29,307.3
TATAMOTORS,17-Dec-2018,B,168.18437,173.45937,S,166.66,171.89,175.5
TATASTEEL,18-Dec-2018,B,513.3812,528.0032,S,514.01,527.19,520.2
CIPLA,14-Dec-2018,S,517.45935,531.5594,B,518.77,532.50,517.0
KOTAKBANK,12-Dec-2018,B,1176.9219,1220.4844,S,1199.57,1249.40,1228.0
SBIN,13-Dec-2018,B,279.45938,286.06558,S,281.40,287.90,292.0
BAJAJFINSV,12-Dec-2018,B,5753.2095,5926.397,S,5889.75,6062.99,6355.9
HEROMOTOCO,02-Nov-2018,B,2754.9434,2840.4404,S,3085.55,3159.57,3335.25
SUNPHARMA,13-Nov-2018,S,570.6281,588.17816,B,428.43,445.88,425.3
DRREDDY,12-Dec-2018,S,2591.0906,2662.8347,B,2609.40,2681.34,2602.95
HCLTECH,07-Dec-2018,S,996.5562,1033.6562,B,975.26,1007.45,948.0
HDFCBANK,12-Dec-2018,B,2052.9158,2084.1904,S,2083.96,2118.21,2111.15
ULTRACEMCO,14-Dec-2018,B,3920.5188,4011.4814,S,3930.20,4019.18,3987.0
